"Timestamp","Outdoor Temperature","Outdoor Humidity","Dew Point","Heat Index","Wind Chill","Barometric Pressure","Rain","Wind Speed","Wind Average","Peak Wind","Wind Direction","Indoor Temperature","Indoor Humidity"
"2017-11-08+16:47:14","23.0","  71","17.0","24.0","23.0","1014.00","  0.25","  0.00"," 1.9","  3.00"," 45.00","  25.0","    56"
"2017-11-08+16:59:15","23.0","  72","18.0","24.0","23.0","1014.00","  0.25","  5.00"," 7.0"," 13.00","315.00","  25.0","    54"
"2017-11-08+17:11:17","23.0","  73","18.0","24.0","23.0","1014.00","  0.25","  3.00"," 4.0"," 13.00","292.50","  25.0","    51"
"2017-11-08+17:23:18","23.0","  72","18.0","24.0","23.0","1014.00","  0.25","  6.00"," 4.6"," 13.00"," 22.50","  25.0","    52"
"2017-11-08+17:35:19","23.0","  73","18.0","24.0","23.0","1014.00","  0.25","  4.00"," 4.9"," 13.00","247.50","  25.0","    51"
"2017-11-08+17:36:24","23.0","  73","18.0","24.0","23.0","1014.00","  0.25","  4.00"," 3.9"," 13.00"," 45.00","  25.0","    50"
"2017-11-08+17:48:24","22.0","  75","17.0","23.0","22.0","1015.00","  0.25","  6.00"," 5.6"," 13.00"," 45.00","  25.0","    52"
"2017-11-08+18:00:24","22.0","  76","18.0","23.0","22.0","1015.00","  0.25","  0.00"," 3.4"," 13.00","292.50","  25.0","    52"
"2017-11-08+18:12:24","22.0","  77","18.0","23.0","22.0","1015.00","  0.25","  0.00"," 0.0"," 13.00"," 45.00","  25.0","    52"
"2017-11-08+18:24:24","22.0","  77","18.0","23.0","22.0","1015.00","  0.25","  3.00"," 0.7"," 13.00"," 45.00","  25.0","    52"
"2017-11-08+18:36:25","22.0","  77","18.0","23.0","22.0","1015.00","  0.25","  3.00"," 0.7"," 13.00"," 45.00","  25.0","    51"
"2017-11-08+18:48:27","22.0","  77","18.0","23.0","22.0","1015.00","  0.25","  3.00"," 0.7"," 13.00"," 45.00","  25.0","    52"
"2017-11-08+19:00:28","22.0","  77","18.0","23.0","22.0","1015.00","  0.25","  3.00"," 0.7"," 13.00"," 45.00","  26.0","    51"
"2017-11-08+19:12:27","22.0","  77","18.0","23.0","22.0","1016.00","  0.00","  3.00"," 0.7"," 13.00"," 45.00","  26.0","    51"
"2017-11-08+19:24:29","22.0","  77","18.0","23.0","22.0","1016.00","  0.00","  3.00"," 0.7"," 13.00"," 45.00","  25.0","    52"
"2017-11-08+19:36:30","22.0","  77","18.0","23.0","22.0","1016.00","  0.00","  3.00"," 0.7"," 13.00"," 45.00","  25.0","    53"
"2017-11-08+19:48:31","22.0","  77","18.0","23.0","22.0","1016.00","  0.00","  3.00"," 0.7"," 13.00"," 45.00","  25.0","    52"
"2017-11-09+07:24:49","21.0","  77","17.0","22.0","21.0","1013.00","  2.54","  2.00"," 0.9","  4.00","292.50","  23.0","    61"
"2017-11-09+07:37:24","21.0","  77","17.0","22.0","21.0","1014.00","  2.54","  0.00"," 2.4","  4.00","270.00","  23.0","    60"
"2017-11-09+07:49:14","21.0","  76","17.0","22.0","21.0","1014.00","  2.54","  3.00"," 1.9","  4.00","180.00","  23.0","    58"
"2017-11-09+08:07:38","22.0","  76","18.0","23.0","22.0","1014.00","  2.54","  0.00"," 1.6","  4.00","225.00","  23.0","    58"
"2017-11-09+08:17:48","22.0","  74","17.0","23.0","22.0","1014.00","  2.54","  2.00"," 0.9","  4.00","270.00","  23.0","    57"
"2017-11-09+09:27:48","22.0","  74","17.0","23.0","22.0","1014.00","  2.54","  3.00"," 1.6","  4.00","270.00","  24.0","    56"
"2017-11-09+09:41:48","22.0","  74","17.0","23.0","22.0","1014.00","  2.54","  3.00"," 1.6","  4.00","270.00","  24.0","    55"
"2017-11-09+09:53:48","22.0","  74","17.0","23.0","22.0","1014.00","  2.54","  3.00"," 1.6","  4.00","270.00","  24.0","    55"
"2017-11-09+10:06:24","26.0","  60","18.0","27.0","26.0","1014.00","  3.30","  3.00"," 1.6","  7.00","202.50","  24.0","    56"
"2017-11-09+10:21:42","27.0","  58","18.0","28.0","27.0","1014.00","  3.30","  0.00"," 0.0","  7.00","202.50","  24.0","    55"
"2017-11-09+10:27:49","27.0","  57","18.0","28.0","27.0","1014.00","  3.30","  7.00"," 0.0","  7.00","202.50","  24.0","    54"
"2017-11-09+10:39:49","25.0","  62","17.0","26.0","25.0","1013.00","  3.81","  3.00"," 3.7","  7.00","360.00","  24.0","    54"
"2017-11-09+10:51:07","24.0","  63","17.0","25.0","24.0","1013.00","  3.81","  3.00"," 4.4","  7.00","292.50","  25.0","    51"
"2017-11-09+11:04:05","25.0","  63","17.0","26.0","25.0","1013.00","  3.81","  3.00"," 1.6","  7.00","225.00","  25.0","    50"
"2017-11-09+11:14:59","25.0","  63","17.0","26.0","25.0","1013.00","  3.81","  4.00"," 3.1","  7.00","360.00","  26.0","    48"
"2017-11-09+12:29:31","25.0","  60","17.0","26.0","25.0","1012.00","  3.81","  7.00"," 8.0"," 19.00","270.00","  26.0","    46"
"2017-11-09+12:42:05","25.0","  64","18.0","26.0","25.0","1012.00","  3.81","  8.00"," 5.4"," 19.00","337.50","  26.0","    47"
"2017-11-09+12:53:05","23.0","  72","18.0","24.0","23.0","1012.00","  3.81","  8.00"," 8.7"," 19.00","157.50","  26.0","    48"
"2017-11-09+13:04:53","21.0","  82","18.0","21.0","21.0","1012.00","  5.33"," 10.00"," 4.1"," 19.00","202.50","  26.0","    51"
"2017-11-09+13:16:53","20.0","  90","18.0","20.0","20.0","1012.00"," 11.18","  8.00"," 7.1"," 19.00","157.50","  26.0","    52"
"2017-11-09+13:35:08","20.0","  90","18.0","20.0","20.0","1012.00"," 11.94","  9.00"," 8.7"," 18.00","180.00","  25.0","    55"
"2017-11-09+13:47:40","19.0","  90","17.0","19.0","19.0","1012.00"," 12.45","  3.00"," 5.9"," 18.00","225.00","  25.0","    54"
"2017-11-09+14:00:01","19.0","  91","17.0","19.0","19.0","1012.00"," 12.70","  6.00"," 2.9"," 13.00","202.50","  24.0","    57"
"2017-11-09+14:11:13","19.0","  91","17.0","19.0","19.0","1012.00"," 12.70","  7.00"," 5.1"," 13.00","225.00","  24.0","    59"
"2017-11-09+14:22:20","19.0","  90","17.0","19.0","19.0","1011.00"," 12.95","  3.00"," 1.6"," 11.00","270.00","  23.0","    58"
"2017-11-09+14:34:12","19.0","  90","17.0","19.0","19.0","1011.00"," 12.95","  0.00"," 2.0"," 11.00","225.00","  24.0","    58"
"2017-11-09+14:47:52","19.0","  92","18.0","19.0","19.0","1011.00"," 12.95","  0.00"," 0.7"," 11.00","112.50","  24.0","    58"
"2017-11-09+14:54:54","19.0","  91","17.0","19.0","19.0","1011.00"," 13.21","  0.00"," 0.0"," 11.00","292.50","  23.0","    57"
"2017-11-09+15:05:52","19.0","  91","17.0","19.0","19.0","1011.00"," 13.21","  0.00"," 0.0","  8.00","112.50","  24.0","    58"
"2017-11-09+15:18:00","19.0","  92","18.0","19.0","19.0","1010.00"," 13.21","  3.00"," 2.7","  5.00","112.50","  24.0","    59"
"2017-11-09+15:28:55","19.0","  93","18.0","19.0","19.0","1010.00"," 13.21","  3.00"," 2.6","  5.00"," 45.00","  24.0","    59"
"2017-11-09+15:40:56","20.0","  92","19.0","20.0","20.0","1010.00"," 13.21","  0.00"," 0.0","  5.00","112.50","  24.0","    59"
"2017-11-09+15:53:56","20.0","  90","18.0","20.0","20.0","1010.00"," 13.21","  0.00"," 0.0","  5.00"," 90.00","  24.0","    59"
"2017-11-09+16:04:56","20.0","  87","18.0","20.0","20.0","1010.00"," 13.21","  0.00"," 0.0","  3.00","292.50","  25.0","    56"
"2017-11-09+16:16:56","21.0","  86","19.0","21.0","21.0","1010.00"," 13.21","  0.00"," 1.1","  3.00"," 90.00","  25.0","    54"
"2017-11-09+16:32:51","21.0","  83","18.0","21.0","21.0","1010.00"," 13.21","  0.00"," 0.0","  3.00"," 45.00","  25.0","    54"
